numobs,length,size,bcovfaulty,bcovfixed,lcovfaulty,lcovfixed,numremoved,fixedcov,Class
3009.5,22.7,4,0.0202392,0.0205382,0.0538538,0.0536657,0,0.0286071,no
684,7.5,7.5,0.108,0.104651,0.0189274,0.0186916,0,0.102339,no
1449.3,26.3,5.1,0.0543075,0.0540717,0.125947,0.125217,0,0.0771987,no
617.2,255.2,20.3,0.507027,0.534535,0.706845,0.739464,0.1,0.593975,low
1757.7,60.8,21.6,0.116492,0.115111,0.146865,0.145902,0,0.0865133,no
2939.6,70.3,6.9,0.0359709,0.0359012,0.0945537,0.0942685,0,0.0511241,no
744,120.3,23.1,0.46875,0.472857,0.49794,0.491667,0,0.47836,low
1844.1,32.9,4.7,0.0130092,0.0127413,0.0145329,0.014433,0,0.0276544,no
654,7.1,7.1,0.11157,0.109756,0.0190476,0.0190476,0,0.107034,no
2868.6,90.7,33.9,0.0989514,0.0987771,0.165996,0.165996,0,0.209056,no
679.4,7.4,1.5,0.0221636,0.0217054,0.0375824,0.0372549,0,0.0214858,no
5016.1,980.3,75.3,0.233395,0.231606,0.325956,0.323487,2,0.327187,low
667,15.7,4.5,0.30505,0.301961,0.336154,0.336154,0,0.215442,no
831.8,153.8,66.5,0.868421,0.86923,0.929771,0.928571,0,0.820754,high
883.9,296.3,28.5,0.18828,0.186135,0.308743,0.308743,1.1,0.259647,no
432,3.9,1,0.0350195,0.0344828,0.0418118,0.0412371,0,0.0277778,no
3413,655.7,88.6,0.463519,0.461538,0.561379,0.561379,0,0.338791,no
7672.5,928.7,157.1,0.358525,0.357936,0.341554,0.340714,0,0.327318,no
7638.3,546.7,104.9,0.292052,0.291763,0.271582,0.270777,0,0.262855,no
301.1,48.7,12.9,0.71,0.71,0.827273,0.827273,0,0.827293,no
301,46.7,13.3,0.72,0.72,0.839394,0.839394,0,0.845515,no
3327.1,677.4,108.6,0.464861,0.462882,0.565417,0.565417,0.1,0.394551,no
2860.8,286.6,39.8,0.306948,0.306948,0.247715,0.247715,0,0.341764,no
3199.9,47.3,4.1,0.00232558,0.00232558,0.0219555,0.0219001,0,0.0117504,no
952.3,116.2,18.9,0.272327,0.270287,0.464149,0.464149,0,0.299582,no
3295.7,116.2,19.8,0.172652,0.173573,0.185252,0.187485,2.2,0.211034,no
3199.3,86.3,7,0.0707498,0.0702731,0.0438748,0.0437803,0,0.0641782,no
2677.89,24,5.88889,0.0469765,0.0469765,0.0963772,0.0963772,0,0.0586598,no
1193.5,34.3,5,0.0247826,0.0247826,0.0635897,0.0635897,0,0.033066,no
1089.7,39.5,8.6,0.147287,0.145038,0.1735,0.177114,0,0.110396,no
2837.2,251.1,37.8,0.224613,0.226366,0.196809,0.202416,0,0.286211,low
4112,40.7,4.5,0.0995071,0.0990476,0.0150089,0.0166667,0,0.0666586,no
7834.9,504.4,99,0.284446,0.284548,0.268322,0.268649,0,0.250962,no
684.9,25.3,5.1,0.0331915,0.0313253,0.0661765,0.0608108,0,0.0418981,no
2721.8,278.8,34.3,0.296977,0.297354,0.222444,0.222158,0,0.30419,no
3893,25.2,4.9,0.148232,0.148232,0.0176636,0.0176966,0,0.0957874,no
2114.8,172.5,22.2,0.139869,0.139869,0.186177,0.182143,0,0.182421,high
7841.2,543.1,104.2,0.292706,0.292706,0.258385,0.258385,0,0.277487,no
2589.3,51.7,7.7,0.0761553,0.076059,0.122667,0.122538,0.7,0.116632,low
2161.2,1084.1,73.4,NA,NA,NA,NA,0.1,0.54331,low
393.9,48.2,10.4,0.401961,0.4,0.653285,0.643166,0.2,0.499602,no
2502.6,22.7,3.8,0.104348,0.102095,0.114437,0.112941,0.4,0.123073,no
336.6,29.1,5.7,0.164286,0.163235,0.28421,0.292537,0,0.216315,no
6710,426.3,79.2,0.279347,0.279347,0.25,0.25,0,0.240241,no
1742,98,8.6,0.0490018,0.0481283,0.0221311,0.0218447,0,0.0727325,no
552.4,22.1,4.5,0.0464286,0.0451613,0.0861597,0.0830508,0,0.0521242,no
3620.6,248.3,35.3,0.136449,0.13587,0.207344,0.206698,1.4,0.152124,no
3540.3,1129.5,80.5,0.177372,0.176909,0.274725,0.274088,0.3,0.448319,no
405,67.6,6.9,0.108955,0.0973333,0.237209,0.2125,0,0.151358,no
1433,44.6,7.2,0.0730497,0.0730497,0.119942,0.119942,0,0.0826936,no
1433,49.3,7.3,0.085461,0.085461,0.131503,0.131503,0,0.0967898,no
6351,579.8,112.3,0.330102,0.329167,0.331466,0.330921,0,0.306488,no
2206.3,32.2,5.9,0.0604869,0.0595941,0.114842,0.113996,0,0.0705662,no
2938.5,64.6,6,0.059956,0.0595628,0.0455373,0.0454545,0,0.0543157,no
2861,21.9,4.2,0.11025,0.11025,0.0182761,0.0182524,0,0.0723523,no
950.9,118.5,23.7,0.28624,0.274176,0.495946,0.483333,0,0.330207,no
366,58.2,7.3,0.112707,0.107936,0.24,0.232558,0,0.163388,no
352,53.5,7.1,0.138775,0.119298,0.243902,0.232558,0,0.169886,no
320.5,45,10.9,0.329811,0.327027,0.64372,0.642735,1.8,0.493253,no
1185.2,246.5,17.5,0.154839,0.181936,0.231792,0.269942,0,0.167818,no
3489.8,159.9,18,0.147518,0.147346,0.139962,0.139714,0,0.130438,no
1111.2,629.4,49.1,0.594275,0.610687,0.740942,0.749456,0.9,0.624724,low
3825.1,334.5,25.3,0.0241379,0.0241379,0.0429004,0.0428727,0,0.0523864,no
3062.6,859.6,82.3,0.243643,0.209193,0.384864,0.331063,1.2,0.419773,no
649.1,60.3,12.1,0.373958,0.373958,0.554755,0.553252,1.2,0.449848,no
913.7,13.4,2.4,0.0490273,0.048276,0.0969432,0.0987013,0,0.0747809,no
4203.9,342.8,29,0.145553,0.145423,0.185783,0.185504,6.1,0.22893,no
8618.2,196.7,21.8,0.0728311,0.072009,0.106052,0.104447,0,0.0529339,no
307.8,13.7,2.7,0.203226,0.20137,0.12931,0.12931,0.1,0.177693,no
2993.3,11.4,3.7,0.00259988,0.00259403,0.00433296,0.00432611,0.3,0.00694875,no
1633.8,57.9,7.4,0.0551429,0.0548296,0.0882729,0.0882729,0,0.0728997,no
2319.6,35.1,5.2,0.0968103,0.0963414,0.143848,0.143694,0,0.120147,no
1859.4,113.2,10.6,0.0417743,0.0431111,0.0813418,0.0838738,0,0.037752,no
1877.8,43.9,7.4,0.0368,0.0356589,0.0758755,0.0735849,0,0.0315788,no
1258.7,101.9,9.7,0.05,0.05,0.126047,0.126047,0.1,0.0916601,no
1739.1,23,5.5,0.0230205,0.0229389,0.0380212,0.0378973,0,0.0526103,no
2583.9,125.2,26.5,0.117214,0.117736,0.22522,0.22522,0.3,0.126473,no
978,103.3,27.1,0.184654,0.183417,0.402,0.400544,0,0.253158,no
1159.4,11.3,2.4,0.0384123,0.0380228,0.0489451,0.0489451,0,0.0317397,no
2942.4,37.9,4.8,0.0423837,0.0424658,0.115081,0.114958,0.4,0.0969953,no
2890.3,146.4,30.3,0.138095,0.138095,0.153642,0.153642,0,0.186736,no
668,19.4,3.8,0.0342205,0.0337078,0.0552995,0.0547945,0,0.168713,no
3611.4,39.7,4,0.00379862,0.00379403,0.0201977,0.0201977,0,0.01279,no
534.9,30.5,7.3,0.181034,0.184211,0.141837,0.144791,0,0.128996,no
341,4.7,1,0.0371901,0.0348837,0.0825688,0.0789474,0,0.0615836,no
2871.8,199.5,35.4,0.116392,0.116213,0.141467,0.142546,0,0.175677,no
320,18.5,4.5,0.247977,0.242373,0.315707,0.309231,0,0.227813,no
1597.4,7.8,1.7,0.00803897,0.008,0.0194445,0.0194445,0,0.0144567,no
927,616,54.2,0.66,0.662862,0.731818,0.731818,0,0.638727,low
2985.4,79.6,14.5,0.0513682,0.0510467,0.0246657,0.0246657,0,0.0748301,no
3909.5,307.1,27.7,0.166292,0.166292,0.194247,0.194678,5.5,0.243404,no
2330.1,607.4,147.9,0.696866,0.691914,0.871989,0.871389,0,0.809322,low
431,51.6,22.1,0.632218,0.638271,0.740856,0.744827,0,0.542924,no
2306,937.2,107.1,0.67624,0.673816,0.855797,0.855211,0,0.794753,no
229.4,74.3,8.9,0.988095,0.989286,0.991667,0.991667,0,0.966419,low
439,89.2,19.5,0.692225,0.640506,0.77977,0.725882,0,0.561048,no
189.8,52,15.7,1,1,0.931034,0.931034,0,0.939411,no
2396.1,904.2,112.3,0.68286,0.682817,0.836018,0.835972,0,0.773256,low
1925.6,460.4,67.4,0.662147,0.662147,0.629624,0.628387,0.1,0.529961,no
1622,112.9,31.8,0.584645,0.560198,0.552617,0.525105,0,0.541908,high
1618.2,176.5,32.5,0.645052,0.64416,0.638215,0.631915,0,0.593063,low
446.9,108.6,29.3,0.648691,0.634615,0.716149,0.71,0,0.744896,high
451.9,124.7,27.4,0.626045,0.627778,0.698403,0.687736,0,0.742178,high
192,35.3,14.5,0.70548,0.66,0.763918,0.748648,0,0.745297,no
5373.9,1993.7,164.2,0.793699,0.792921,0.848101,0.8477,0.1,0.772362,no
1560.6,42.9,22.4,0.206095,0.204762,0.217376,0.217376,0,0.199794,no
2365,948.6,109.5,0.699991,0.699478,0.85662,0.85662,0,0.794588,high
188.3,46.6,14.7,0.991837,1,0.931183,0.931034,0,0.938406,no
2114.4,449.6,77,0.748884,0.749198,0.807092,0.807143,0.2,0.693379,no
335.9,25.2,6.8,0.220779,0.141026,0.137037,0.122413,0,0.218509,low
5370.6,1895.2,154.7,0.789535,0.789624,0.847022,0.847022,0.2,0.772072,low
2148.5,371.6,108.6,0.803822,0.803822,0.888525,0.888525,0,0.83416,no
1914.8,540.3,65.9,0.859174,0.843479,0.930335,0.923108,0,0.838049,no
858.8,69.8,26.3,0.323037,0.342647,0.423434,0.442655,0,0.397282,low
2350.9,927,111.6,0.712004,0.709499,0.86236,0.86236,0,0.799183,no
133,18.7,14.3,1,1,1,1,0,0.834586,no
2465.1,569.8,84.2,0.709985,0.710022,0.815152,0.815152,0.1,0.683061,no
2347.1,940,110.5,0.709617,0.707825,0.866635,0.865309,0,0.80397,low
209.8,18.1,5.4,0.242553,0.223529,0.125806,0.108333,0,0.203096,low
614,85.1,31.1,0.890625,0.890625,0.897059,0.897059,0,0.706026,no
5131.5,1914.2,163.2,0.8223,0.812611,0.861104,0.855594,0.1,0.782032,no
5004.7,1995,172.3,0.827705,0.824863,0.869163,0.868434,0.1,0.799188,no
1154.4,796.4,53.1,0.958358,0.95084,0.970698,0.971,1,0.924636,high
1566.2,791.6,61.1,0.668511,0.667749,0.827469,0.827206,0,0.716955,high
1956.5,800.6,135,0.554955,0.551678,0.563287,0.563022,0,0.545921,low
4325,3744.6,234.5,0.768967,0.768889,0.884181,0.88411,0,0.773892,low
2331.1,943.5,111.8,0.701269,0.694504,0.851233,0.846328,0,0.788168,low
4308.5,3768,240.3,0.771519,0.770375,0.88627,0.883351,0,0.776232,no
2467,497.8,81.3,0.71021,0.710248,0.806615,0.806527,0,0.681385,no
4769.2,2019.5,178.3,0.837388,0.836686,0.875524,0.875224,0,0.812338,low
4720.56,2236.11,196.778,0.864395,0.864503,0.906913,0.907199,0,0.837896,no
1551.8,227.5,85.4,0.67917,0.683406,0.842137,0.842017,0,0.73553,high
1348.7,420.9,36.1,0.698893,0.686021,0.779751,0.769634,0,0.789047,no
760.5,56.5,22.3,0.305149,0.312195,0.404632,0.412578,0,0.344633,high
1377.5,85.2,85,0.694781,0.697908,0.841519,0.842632,0,0.778948,no
985,108.8,48.3,0.986503,0.981818,0.988135,0.984892,0,0.974417,high
876,302.2,56,0.756731,0.757143,0.676489,0.677169,0,0.786767,low
3829.6,875.3,83.1,0.517517,0.516489,0.59999,0.598847,0.7,0.446958,no
1395.2,1238.4,61.1,0.746076,0.74181,0.830147,0.829167,1.5,0.776733,high
1897.7,493.2,64.5,0.840747,0.847236,0.919189,0.920161,0,0.845167,no
2473.1,508.8,76.7,0.694925,0.693018,0.800388,0.799766,0,0.677129,no
1411,455.1,95.4,0.778475,0.774888,0.960707,0.953416,0,0.85039,no
680.4,148,51.2,0.728488,0.731466,0.648381,0.651695,0,0.76146,low
1731.4,183.3,80.8,0.832039,0.832039,0.881373,0.881373,0,0.886841,no
454,95.6,18.8,0.722429,0.709589,0.818935,0.804166,0,0.670485,no
384,62.9,19.5,0.96413,0.965625,0.975148,0.975438,0,0.933594,no
2484.8,505.3,78.8,0.700644,0.699665,0.805514,0.80186,0,0.671079,no
448,34,19.8,0.690141,0.694366,0.830476,0.827857,0,0.64308,high
2264,1218,124.4,0.675888,0.675737,0.809581,0.80942,0,0.720186,no
3353.5,866.2,82.2,0.537331,0.537428,0.618205,0.618385,0.5,0.482498,low
3354.3,878.6,88.9,0.542618,0.542166,0.621256,0.621077,0.8,0.486765,no
3353.5,904.3,85.4,0.543456,0.543907,0.623026,0.623615,0.6,0.487994,low
1498.7,453.3,36.8,0.584173,0.573505,0.67146,0.661947,0,0.728548,no
1230.1,323.8,30.4,0.807426,0.810968,0.786331,0.794064,1.6,0.833915,no
134,3,2,0.153846,0.117647,0.138462,0.0967742,0,0.0895522,no
1730.2,176.2,77,0.799823,0.811893,0.864965,0.871814,0,0.880359,low
3011.2,1009.9,126.3,0.737784,0.737843,0.738006,0.738095,0,0.911206,high
711,181.5,25.6,0.978947,0.978947,0.98125,0.98125,0,0.953727,no
2116,1463.2,125.5,0.875714,0.874419,0.936753,0.935749,0.9,0.895697,high
390.4,79,21.3,0.606135,0.589474,0.754146,0.735211,0,0.636214,no
1903,1007.3,76.6,0.923862,0.925137,0.97534,0.976021,0.2,0.947556,low
4773,293.7,65.6,0.155349,0.155349,0.15944,0.159728,0,0.154012,high
545.7,51.8,19.9,0.233945,0.217949,0.296791,0.298387,0,0.343594,no
249.9,107.3,16.2,0.851282,0.861538,0.953703,0.966666,0,0.87433,low
522,2,2,0.0740741,0.0740741,0.0692308,0.0681818,0,0.0229885,no
1535.1,145.3,23.9,0.372297,0.372973,0.402883,0.402758,0.1,0.24054,no
418.3,108.5,18.4,0.805376,0.787097,0.804848,0.784545,0,0.773187,low
573.7,224.8,25.2,0.97,0.97,1,1,0.1,0.968446,no
788,0,0,0,0,0,0,0,0,no
307.5,44.7,14.5,0.623377,0.592593,0.604317,0.561224,0,0.546016,high
4227.8,1258.4,108.9,0.74964,0.74964,0.894833,0.894833,0,0.78445,no
4227.9,1254.7,109.6,0.742438,0.743525,0.895192,0.895445,0,0.781972,no
4248.8,0.9,0.9,0.000370827,0.000369915,0.000882643,0.000881488,0,0.000823624,no
1954,97.7,10.4,0.306552,0.303965,0.422238,0.416521,0.1,0.386899,no
1965.1,80.5,11,0.288399,0.288965,0.398964,0.394725,0,0.322373,no
1950.1,56.6,10.5,0.232747,0.231119,0.321205,0.321205,0.3,0.287625,no
285,1,1,0,0,0.0192308,0.0185185,0,0.0105263,no
1045.2,304.5,45,0.991852,0.993333,0.998222,0.997333,0,0.970148,high
464,70.1,15.3,0.661778,0.678667,0.840361,0.844643,1.5,0.875647,low
462,45.8,15,0.680889,0.749333,0.857576,0.892727,1.9,0.884416,high
800,56.5,8.1,0.960204,0.95,0.986909,0.982796,0,0.97875,low
1547.1,407.4,49.3,0.936257,0.938596,0.967562,0.968456,0,0.90789,low
1547.4,403.4,54.3,0.957017,0.957017,0.971812,0.971812,0,0.922188,low
388,39.1,7.1,0.233766,0.222222,0.40724,0.4,0.6,0.311856,no
1793.4,803.2,95.4,0.820487,0.809941,0.885109,0.879167,1.2,0.754977,low
307.4,36.9,8.5,1,1,1,1,0,0.980481,no
401,0,0,0,0,0,0,0,0,no
653.9,39.1,14.3,0.656857,0.656842,0.771895,0.77451,0,0.755302,low
1209.4,407.1,36.8,0.71621,0.715753,0.855967,0.855555,3.5,0.823054,no
251.1,43.1,18.5,0.724138,0.724138,0.804545,0.804545,0,0.656118,no
122.5,29,14.8,0.933333,0.933333,0.966666,0.966666,0,0.880567,high
1903.1,978.1,73.4,0.946095,0.948088,0.987237,0.987245,0,0.954337,low
3144,29.5,3.9,0.0334358,0.0450077,0.0479851,0.0613734,0,0.0879453,low
400,45.4,13.2,0.137931,0.129032,0.292208,0.283019,0,0.397998,no
677.2,86.5,25.6,0.936403,0.943421,0.971935,0.977165,0,0.973107,low
958,194,66.7,0.874576,0.874576,0.988136,0.988136,0,0.928479,no
1213.1,297.9,43.5,0.732791,0.721918,0.861411,0.857099,4,0.807109,low
820.6,576,58.3,0.87326,0.883517,0.990609,0.995939,0.1,0.889316,no
496.2,50.1,19.1,0.279793,0.268657,0.343109,0.333333,0,0.38311,no
1646,940.7,73.4,0.939875,0.944267,0.981091,0.981579,0.1,0.950243,low
1647,920.7,71.5,0.940127,0.941615,0.9818,0.981871,0,0.95003,low
504.7,100.9,27.1,0.752427,0.747857,0.845596,0.84,0,0.898541,low
2075.9,966.7,99.9,0.797517,0.798229,0.8577,0.85811,0.9,0.760705,low
499.6,97.8,26,0.736058,0.742647,0.836224,0.851562,0,0.905882,no
507.3,103.2,27.5,0.762871,0.755714,0.84375,0.813235,0,0.90422,low
1664.6,789.1,57.6,0.818408,0.81903,0.930167,0.930781,0,0.926526,low
1417,758.5,59.6,0.966929,0.967442,0.991196,0.991276,0,0.958927,no
4009.2,0.4,0.4,0.000262124,0.000260756,0.000404995,0.000403632,0,0.000299264,no
1315.9,651.3,53.5,0.861135,0.862338,0.977742,0.979824,0,0.923854,no
632.7,153.9,26.8,0.919685,0.920732,0.965865,0.968182,0,0.925075,high
483.1,69.5,7.2,0.365625,0.365625,0.467857,0.467857,0,0.445225,no
737.2,104.2,14,0.938309,0.940299,0.852273,0.854546,0,0.897586,no
3703,1028.8,94.9,NA,NA,NA,NA,0,0.703889,no
409.1,75.7,31.7,0.893333,0.992,0.901639,1,0,0.983866,high
289.5,69.3,20.8,0.981666,0.9725,0.988095,0.982143,0.1,0.954751,high
296.1,47.9,12,0.518987,0.52,0.53125,0.52381,0,0.510639,no
2685.1,1135.7,128.3,0.795908,0.798265,0.835833,0.836042,0.3,0.79196,no
1685.8,20,7.8,0.0289389,0.0285714,0.0986328,0.1,0,0.106656,no
989.7,125.2,38.4,0.541176,0.538462,0.493609,0.487209,0,0.395975,no
513,67.7,11.9,0.415642,0.34386,0.611458,0.504348,2,0.912671,high
445.7,85.8,22.8,0.435294,0.435294,0.442696,0.442696,0,0.46288,no
1651,19.1,7,0.0247117,0.0243902,0.0890688,0.0898204,0,0.0944882,no
681.6,129.9,27,0.963889,0.963889,0.985075,0.985075,0,0.949102,no
292.1,115.6,23.9,1,1,1,1,0,0.977403,high
685,57.7,16.7,0.0841121,0.0841121,0.192374,0.187817,0,0.279854,no
1140.2,165.6,28.2,0.85,0.85,0.904,0.904,0,0.863766,no
1140.2,165,27.5,0.849412,0.837069,0.901351,0.8925,0,0.862473,low
456,56.2,15.4,0.126316,0.121212,0.257143,0.254237,0,0.375219,no
625.7,282.6,65.6,0.918919,0.918919,0.976562,0.976562,0,0.908902,no
754,2,2,0,0,0.00824176,0.00806452,0,0.00795756,no
3944.4,1840.5,198.2,0.361102,0.361139,0.406473,0.406508,1.5,0.678029,no
504,32.8,15,0.130435,0.117647,0.296578,0.27957,0,0.248016,no
2280.88,1023.88,118.625,0.810274,0.810274,0.839423,0.839423,0,0.802653,no
1958,210.9,19.1,0.384848,0.381468,0.512854,0.509761,0.1,0.456983,low
1957.8,210.8,16.9,0.368454,0.367715,0.479145,0.478802,0,0.416389,low
370.8,89.8,14.2,0.586842,0.586842,0.660345,0.660345,1.4,0.534688,no
1380.1,423.7,36.7,0.786381,0.813913,0.899005,0.911567,5,0.85832,low
256.8,43.4,6.1,0.45,0.375,0.673787,0.610257,0,0.636682,no
312.1,99,23.8,0.847619,0.841071,0.955556,0.951667,0,0.942318,high
765,2,2,0,0,0.00934579,0.00934579,0,0.00784314,no
1324.9,411.8,38.7,0.734969,0.731364,0.869231,0.87,5.1,0.851288,high
1301,427.4,39.2,0.757622,0.769444,0.880257,0.888462,6,0.878306,no
483,179.6,51.1,0.963855,0.955357,0.990536,0.985981,0,0.93354,high
478,163,56.1,0.96319,0.963636,0.990354,0.990476,0,0.937239,high
1555.5,366.2,51.2,0.965049,0.965049,0.976259,0.976259,0,0.921378,no
1578,623.5,81.4,0.836815,0.836232,0.837926,0.838977,0.2,0.827626,high
1872.8,567.6,77.3,0.829046,0.831837,0.828872,0.831333,0.2,0.841999,low
1835.6,565.7,73.5,0.82202,0.822385,0.825,0.824318,0.2,0.837655,no
260.1,37.4,19.1,1,0.970588,1,1,0,0.95425,high
1534,679.3,52,0.959259,0.958333,0.97541,0.97541,0,0.94133,low
1199.1,207.9,22.6,0.979194,0.940909,0.978868,0.943158,0,0.917773,high
3534.8,1688.1,170.8,0.402916,0.402916,0.440421,0.440421,0.1,0.606238,no
1661.3,651.9,86.5,0.838339,0.83367,0.835063,0.831767,0.1,0.820984,low
790.5,110.9,28.8,0.678571,0.678571,0.745833,0.745833,0,0.443514,no
901.9,214.4,47.3,0.911579,0.907071,0.985629,0.98,0,0.916398,high
313.6,54.4,26,0.936508,0.826087,0.944444,0.85,0,0.809309,no
695.3,71.1,27,0.978261,0.978261,0.97619,0.97619,0,0.989357,low
673.7,191.1,43.3,1,1,1,1,0,0.968977,low
1420.2,495.6,89.2,0.727505,0.714451,0.772385,0.758947,0.1,0.678883,low
1417.4,474.5,117.5,0.897431,0.895833,0.940785,0.939223,0.3,0.853675,high
1531.9,844.6,100,0.8876,0.888153,0.88726,0.890788,0.2,0.905723,low
1148.5,315.7,75.9,0.829602,0.841045,0.87643,0.883682,0,0.809207,low
1757.6,1013.4,101.2,0.925656,0.928571,0.972386,0.971647,0,0.922052,low
1780,341.1,37.4,0.428416,0.416518,0.585513,0.571662,0.5,0.446399,low
1033.3,889.2,84,0.783041,0.783772,0.852589,0.853155,0,0.812665,no
1786,520.2,56.7,0.681065,0.681951,0.797294,0.796857,0.4,0.742196,low
1799.7,540.4,55.4,0.665655,0.667662,0.794282,0.791092,0.5,0.734947,high
